Name,Category,Glass,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Directions,isAlcoholic,Video
A1,Cocktail,Cocktail glass,"('Gin', '1 3/4 shot ')","('Grand Marnier', '1 Shot ')","('Lemon Juice', '1/4 Shot')","('Grenadine', '1/8 Shot')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",True,
ABC,Shot,Shot glass,"('Amaretto', '1/3 ')","('Baileys irish cream', '1/3 ')","('Cognac', '1/3 ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Layered in a shot glass.,True,
Ace,Cocktail,Martini Glass,"('Gin', '2 shots ')","('Grenadine', '1/2 shot ')","('Heavy cream', '1/2 shot ')","('Milk', '1/2 shot')","('Egg White', '1/2 Fresh')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,True,
Adam,Ordinary Drink,Cocktail glass,"('Dark rum', '2 oz ')","('Lemon juice', '1 oz ')","('Grenadine', '1 tsp ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",True,
AT&T,Ordinary Drink,Highball Glass,"('Absolut Vodka', '1 oz ')","('Gin', '1 oz ')","('Tonic water', '4 oz ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Pour Vodka and Gin over ice, add Tonic and Stir",True,
ACID,Shot,Shot glass,"('151 proof rum', '1 oz Bacardi ')","('Wild Turkey', '1 oz ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,True,
A. J.,Ordinary Drink,Cocktail glass,"('Applejack', '1 1/2 oz ')","('Grapefruit juice', '1 oz ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Shake ingredients with ice, strain into a cocktail glass, and serve.",True,
Affair,Ordinary Drink,Highball glass,"('Strawberry schnapps', '2 oz ')","('Orange juice', '2 oz ')","('Cranberry juice', '2 oz ')","('Club soda', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",True,
Apello,Other/Unknown,Collins Glass,"('Orange juice', '4 cl ')","('Grapefruit juice', '3 cl ')","('Apple juice', '1 cl ')","('Maraschino cherry', '1 ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Stirr. Grnish with maraschino cherry.,False,
Avalon,Ordinary Drink,Highball glass,"('Vodka', '3 parts')","('Pisang Ambon', '1 part ')","('Apple juice', '6 parts ')","('Lemon juice', '1 1/2 part ')","('Lemonade', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",True,
Abilene,Ordinary Drink,Highball glass,"('Dark rum', '1 1/2 oz ')","('Peach nectar', '2 oz ')","('Orange juice', '3 oz ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,True,
Almeria,Ordinary Drink,Cocktail glass,"('Dark rum', '2 oz ')","('Kahlua', '1 oz ')","('Egg white', '1 ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",True,
Addison,Cocktail,Martini Glass,"('Gin', '1 1/2 shot ')","('Vermouth', '1 1/2 shot ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Shake together all the ingredients and strain into a cold glass.,True,
Acapulco,Ordinary Drink,Old-fashioned glass,"('Light rum', '1 1/2 oz ')","('Triple sec', '1 1/2 tsp ')","('Lime juice', '1 tblsp ')","('Sugar', '1 tsp ')","('Egg white', '1 ')","('Mint', '1 ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,True,
Affinity,Ordinary Drink,Cocktail glass,"('Scotch', '1 1/2 oz ')","('Sweet Vermouth', '1 oz ')","('Dry Vermouth', '1 oz ')","('Orange bitters', '2 dashes ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",True,
Applecar,Ordinary Drink,Cocktail glass,"('Applejack', '1 oz ')","('Triple sec', '1 oz ')","('Lemon juice', '1 oz ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Shake all ingredients with ice, strain into a cocktail glass, and serve.",True,
Aviation,Cocktail,Cocktail glass,"('Gin', '4.5 cl')","('lemon juice', '1.5 cl')","('maraschino liqueur', '1.5 cl')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,True,
Alexander,Ordinary Drink,Cocktail glass,"('Gin', '1/2 oz ')","('Creme de Cacao', '1/2 oz white ')","('Light cream', '2 oz ')","('Nutmeg', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,True,
Algonquin,Ordinary Drink,Cocktail glass,"('Blended whiskey', '1 1/2 oz ')","('Dry Vermouth', '1 oz ')","('Pineapple juice', '1 oz ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",True,
Allegheny,Ordinary Drink,Cocktail glass,"('Dry Vermouth', '1 oz ')","('Bourbon', '1 oz ')","('Blackberry brandy', '1 1/2 tsp ')","('Lemon juice', '1 1/2 tsp ')","('Lemon peel', '1 twist of ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,True,
Artillery,Ordinary Drink,Cocktail glass,"('Sweet Vermouth', '1 1/2 tsp ')","('Gin', '1 1/2 oz ')","('Bitters', '2 dashes ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Stir all ingredients with ice, strain into a cocktail glass, and serve.",True,
Afterglow,Cocktail,Highball Glass,"('Grenadine', '1 part ')","('Orange juice', '4 parts ')","('Pineapple juice', '4 parts ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Mix. Serve over ice.,False,
Autodafé,Ordinary Drink,Highball glass,"('Vodka', '4 cl ')","('Lime juice', '1 dash ')","('Soda water', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,True,
Afternoon,Coffee / Tea,Collins Glass,"('Kahlua', '1 cl ')","('Baileys irish cream', '1 cl ')","('Frangelico', '1 1/2 ')","('Coffee', '4 cl hot ')","('Cream', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",True,
After sex,Ordinary Drink,Highball glass,"('Vodka', '2 cl ')","('Creme de Banane', '1 cl ')","('Orange juice', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,True,
B-53,Shot,Collins Glass,"('Kahlua', '1/3 shot ')","('Sambuca', '1/3 shot ')","('Grand Marnier', '1/3 shot ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52",True,
B-52,Shot,Shot glass,"('Baileys irish cream', '1/3 ')","('Grand Marnier', '1/3 ')","('Kahlua', '1/4 ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Layer ingredients into a shot glass. Serve with a stirrer.,True,
Bijou,Cocktail,Cocktail glass,"('Orange Bitters', '1 dash')","('Green Chartreuse', '1 oz')","('Gin', '1 oz')","('Sweet Vermouth', '1 oz')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Stir in mixing glass with ice and strain
",True,
Boxcar,Ordinary Drink,Whiskey sour glass,"('Gin', '1 1/2 oz ')","('Triple sec', '1 oz ')","('Lemon juice', '1 tsp ')","('Grenadine', '1/2 tsp ')","('Egg white', '1 ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",True,
Big Red,Shot,Shot glass,"('Irish cream', '1/2 oz ')","('Goldschlager', '1/2 oz ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Pour ingredients into 1 ounce shot glass,True,
Bellini,Ordinary Drink,Champagne Flute,"('Champagne', '6 oz ')","('Peach schnapps', '1 oz ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Pour peach purée into chilled flute, add sparkling wine. Stir gently.",True,
Bramble,Ordinary Drink,Old-Fashioned glass,"('Gin', '4 cl')","('lemon juice', '1.5 cl')","('Sugar syrup', '1 cl')","('Creme de Mure', '1.5 cl')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",True,
Balmoral,Ordinary Drink,Cocktail glass,"('Scotch', '1 1/2 oz ')","('Sweet Vermouth', '1/2 oz ')","('Dry Vermouth', '1/2 oz ')","('Bitters', '2 dashes ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",True,
Bluebird,Ordinary Drink,Cocktail glass,"('Gin', '1 1/2 oz ')","('Triple sec', '1/2 oz ')","('Blue Curacao', '1/2 oz ')","('Bitters', '2 dashes ')","('Maraschino cherry', '1 ')","('Lemon peel', '1 twist of ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",True,
Brooklyn,Cocktail,Cocktail glass,"('Rye Whiskey', '2 oz')","('Dry Vermouth', '1 oz')","('Maraschino Liqueur', '1/4 oz')","('Angostura Bitters', '3 dashes')","('Maraschino Cherry', '1')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,True,
Boomerang,Ordinary Drink,Cocktail glass,"('Gin', '2 oz ')","('Dry Vermouth', '1/2 oz ')","('Bitters', '2 dashes ')","('Maraschino liqueur', '1/2 tsp ')","('Maraschino cherry', '1 ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",True,
Bora Bora,Cocktail,Highball glass,"('Pineapple juice', '10 cl ')","('Passion fruit juice', '6 cl ')","('Lemon juice', '1 cl ')","('Grenadine', '1 cl ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",False,
Barracuda,Ordinary Drink,Margarita glass,"('Rum', '4.5 cl')","('Galliano', '1.5 cl')","('Pineapple Juice', '6 cl')","('Lime Juice', ' 1 dash')","('Prosecco', 'top up ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",True,
Buccaneer,Beer,Beer pilsner,"('Corona', '1 ')","('Bacardi Limon', '1 shot ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,True,
Brigadier,Cocktail,Coupe Glass,"('Hot Chocolate', '4 oz')","('Green Chartreuse', '1 oz')","('Cherry Heering', '1 oz')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Mix ingredients in a warmed mug and stir.,True,
Broadside,Cocktail,Highball glass,"('151 proof rum', '1 shot')","('Scotch', '1/2 shot')","('Bitters', '3 drops')","('Wormwood', '1 Fresh')","('Ice', 'cubes')","('', '')","('', '')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!",True,
Blackthorn,Ordinary Drink,Cocktail glass,"('Sweet Vermouth', '1 oz ')","('Sloe gin', '1 1/2 oz ')","('Lemon peel', '1 twist of ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,True,
Bob Marley,Shot,Shot glass,"('Midori melon liqueur', '1/2 oz ')","('Jägermeister', '1/2 oz ')","('Goldschlager', '1/2 oz ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Layer in a 2 oz shot glass or pony glass,True,
Bubble Gum,Shot,Shot glass,"('Vodka', '1/4 ')","('Banana liqueur', '1/4 ')","('Orange juice', '1/4 ')","('Peach schnapps', '1/4 ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Layer in order into a shot glass.,True,
Bible Belt,Other/Unknown,Highball glass,"('Southern Comfort', '2 oz ')","('Triple sec', '1/2 oz ')","('Lime', '2 wedges ')","('Sour mix', '2 oz ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Mix all ingredients, and pour over ice.",True,
Brain Fart,Punch / Party Drink,Punch bowl,"('Everclear', '1 fifth ')","('Vodka', '1 fifth Smirnoff red label ')","('Mountain Dew', '2 L ')","('Surge', '2 L ')","('Lemon juice', '1 small bottle ')","('Rum', '1 pint ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,True,
Bloody Mary,Ordinary Drink,Old-fashioned glass,"('Vodka', '1 1/2 oz ')","('Tomato juice', '3 oz ')","('Lemon juice', '1 dash ')","('Worcestershire sauce', '1/2 tsp ')","('Tabasco sauce', '2-3 drops ')","('Lime', '1 wedge ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Stirring gently, pour all ingredients into highball glass. Garnish.",True,
Blue Lagoon,Ordinary Drink,Highball glass,"('Vodka', '1 oz ')","('Blue Curacao', '1 oz ')","('Lemonade', None)","('Cherry', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.",True,
Boston Sour,Ordinary Drink,Whiskey sour glass,"('Blended whiskey', '2 oz ')","('Lemon', 'Juice of 1/2 ')","('Powdered sugar', '1 tsp ')","('Egg white', '1 ')","('Lemon', '1 slice ')","('Cherry', '1 ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",True,
Brandy Flip,Ordinary Drink,Whiskey sour glass,"('Brandy', '2 oz ')","('Egg', '1 whole ')","('Sugar', '1 tsp superfine ')","('Light cream', '1/2 oz ')","('Nutmeg', '1/8 tsp grated ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","In a shaker half-filled with ice cubes, combine the brandy, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg.",True,
Casino,Ordinary Drink,Cocktail glass,"('Gin', '2 oz ')","('Maraschino liqueur', '1/4 tsp ')","('Lemon juice', '1/4 tsp ')","('Orange bitters', '2 dashes ')","('Cherry', '1 ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,True,
Caipirinha,Ordinary Drink,Old-fashioned glass,"('Sugar', '2 tsp')","('Lime', '1 ')","('Cachaca', '2 1/2 oz ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,True,
Cherry Rum,Ordinary Drink,Cocktail glass,"('Light rum', '1 1/4 oz ')","('Cherry brandy', '1 1/2 tsp ')","('Light cream', '1 tblsp ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Shake all ingredients with ice, strain into a cocktail glass, and serve.",True,
Cuba Libre,Ordinary Drink,Highball glass,"('Light rum', '2 oz ')","('Lime', 'Juice of 1/2 ')","('Coca-Cola', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,True,
Cuba Libra,Ordinary Drink,Highball glass,"('Dark rum', '1-2 shot ')","('Lime', 'Squeeze ')","('Coca-Cola', 'Fill with ')","('Ice', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,True,
Cafe Savoy,Coffee / Tea,Coffee mug,"('Coffee', None)","('Milk', '1/2 oz ')","('Triple sec', '1/2 oz ')","('Brandy', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",True,
Cream Soda,Cocktail,Highball glass,"('Spiced rum', '1 oz ')","('Ginger ale', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,True,
Corn n Oil,Cocktail,Old-fashioned glass,"('Lime', '1/2')","('Falernum', '1/3 oz')","('Angostura Bitters', '2 dashes')","('Añejo rum', '1 oz')","('blackstrap rum', '1 oz')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Cut the half lime in half again. Add the lime, falernum, and bitters to a rocks glass. Muddle. Add the rum. (Aged Barbados rum such as Plantation 5 Year is recommended). Add ice and stir. Float the blackstrap rum on top. Serve with a straw.",True,
Casa Blanca,Ordinary Drink,Cocktail glass,"('Light rum', '2 oz ')","('Triple sec', '1 1/2 tsp ')","('Lime juice', '1 1/2 tsp ')","('Maraschino liqueur', '1 1/2 tsp ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Shake all ingredients with ice, strain into a cocktail glass, and serve.",True,
Clover Club,Ordinary Drink,Cocktail glass,"('Gin', '1 1/2 oz ')","('Grenadine', '2 tsp ')","('Lemon', 'Juice of 1/2 ')","('Egg white', '1 ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Dry shake ingredients to emulsify, add ice, shake and served straight up.",True,
Citrus Coke,Soft Drink / Soda,Highball Glass,"('Bacardi Limon', '1 part ')","('Coca-Cola', '2 parts ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,True,
Chicago Fizz,Ordinary Drink,Highball glass,"('Light rum', '1 oz ')","('Port', '1 oz ')","('Lemon', 'Juice of 1/2 ')","('Powdered sugar', '1 tsp ')","('Egg white', '1 ')","('Carbonated water', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",True,
City Slicker,Ordinary Drink,Cocktail glass,"('Brandy', '2 oz ')","('Triple sec', '1/2 oz ')","('Lemon juice', '1 tblsp ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",True,
Coffee-Vodka,Homemade Liqueur,Collins Glass,"('Water', '2 cups ')","('Sugar', '2 cups white ')","('Coffee', '1/2 cup instant ')","('Vanilla', '1/2')","('Vodka', '1 1/2 cup')","('Caramel coloring', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product.",True,
Caipirissima,Ordinary Drink,Collins Glass,"('Lime', '2 ')","('Sugar', '2 tblsp ')","('White rum', '2-3 oz ')","('Ice', 'crushed ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,True,
Campari Beer,Beer,Beer mug,"('Lager', '1 bottle ')","('Campari', '1 1/2 cl ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Use a 15 oz glass. Add Campari first. Fill with beer.,True,
Cosmopolitan,Cocktail,Cocktail glass,"('Absolut Citron', '1 1/4 oz ')","('Lime juice', '1/4 oz ')","('Cointreau', '1/4 oz ')","('Cranberry juice', '1/4 cup ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,True,
Casino Royale,Ordinary Drink,Whiskey sour glass,"('Gin', '2 oz ')","('Lemon juice', '1/2 oz ')","('Maraschino liqueur', '1 tsp ')","('Orange bitters', '1 dash ')","('Egg yolk', '1 ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",True,
Clove Cocktail,Ordinary Drink,Cocktail glass,"('Sweet Vermouth', '1 oz ')","('Sloe gin', '1/2 oz ')","('Wine', '1/2 oz Muscatel ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Stir all ingredients with ice, strain into a cocktail glass, and serve.",True,
Coffee Liqueur,Homemade Liqueur,Collins Glass,"('Coffee', '10 tblsp instant ')","('Vanilla extract', '4 tblsp ')","('Sugar', '2 1/2 cups ')","('Vodka', '1 qt ')","('Water', '2 1/2 cups ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.",True,
