Name,Category,Glass,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Directions,isAlcoholic,Video
Scotch Cobbler,Ordinary Drink,Old-fashioned glass,"('Scotch', '2 oz ')","('Brandy', '4 dashes ')","('Curacao', '4 dashes ')","('Orange', '1 slice ')","('Mint', '1 ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve.",True,
Thriller,Ordinary Drink,Cocktail glass,"('Scotch', '1 1/2 oz ')","('Wine', '1 oz Green Ginger ')","('Orange juice', '1 oz ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",True,
Tia-Maria,Homemade Liqueur,Collins Glass,"('Water', '1 cup ')","('Brown sugar', '3/4-1 cup ')","('Coffee', '4 tsp ')","('Rum', '1 cup ')","('Vanilla extract', '4 tsp ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using.",True,
Tipperary,Cocktail,Nick and Nora Glass,"('Irish Whiskey', '2 oz')","('Sweet Vermouth', '1 oz')","('Green Chartreuse', '1/2 oz')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Stir over ice. Strain into chilled glass. Cut a wide swath of orange peel, and express the orange oils over the drink. Discard orange twist.",True,
Turkeyball,Shot,Shot glass,"('Wild Turkey', '1 oz ')","('Amaretto', '3/4 oz ')","('Pineapple juice', '1 splash ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Shake with ice and strain into a shot glass.,True,
Tom Collins,Ordinary Drink,Collins glass,"('Gin', '2 oz ')","('Lemon juice', '1 oz ')","('Sugar', '1 tsp superfine ')","('Club soda', '3 oz ')","('Maraschino cherry', '1 ')","('Orange', '1 ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice.",True,
Tomato Tang,Other/Unknown,Highball glass,"('Tomato juice', '2 cups ')","('Lemon juice', '1-2 tblsp ')","('Celery salt', '1 dash ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",False,
Thai Coffee,Coffee / Tea,Highball glass,"('Coffee', '6 tblsp ground')","('Coriander', '1/4 tsp ')","('Cardamom', '4-5 whole green ')","('Sugar', None)","('Whipping cream', None)","('Ice', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Place the coffee and spices in the filter cone of your coffee maker. Brew coffee as usual, let it cool. In a tall glass, dissolve 1 or 2 teaspoons of sugar in an ounce of the coffee (it's easier to dissolve than if you put it right over ice). Add 5-6 ice cubes and pour coffee to within about 1 inch of the top of the glass. Rest a spoon on top of the coffee and slowly pour whipping cream into the spoon. This will make the cream float on top of the coffee rather than dispersing into it right away.",False,
Texas Sling,Milk / Float / Shake,Wine Glass,"('Kahlua', '1/2 oz ')","('Irish cream', '1/2 oz ')","('Amaretto', '1/2 oz ')","('151 proof rum', '1/2 oz Bacardi ')","('Cream', '1 oz ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Blend with Ice until smooth. Serve in a tulip glass, top with whip cream.",True,
Tequila Fizz,Ordinary Drink,Collins glass,"('Tequila', '2 oz ')","('Lemon juice', '1 tblsp ')","('Grenadine', '3/4 oz ')","('Egg white', '1 ')","('Ginger ale', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve.",True,
Tequila Sour,Ordinary Drink,Whiskey sour glass,"('Tequila', '2 oz ')","('Lemon', 'Juice of 1/2 ')","('Powdered sugar', '1 tsp ')","('Lemon', '1/2 slice ')","('Cherry', '1 ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve.",True,
Talos Coffee,Coffee / Tea,Brandy snifter,"('Grand Marnier', '3 parts ')","('Coffee', '1 part ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Add your GM and then add your coffee.,True,
Tennesee Mud,Coffee / Tea,Coffee Mug,"('Coffee', '8 oz ')","('Jack Daniels', '4 oz ')","('Amaretto', '4 oz ')","('Whipped cream', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Mix Coffee, Jack Daniels and Amaretto. Add Cream on top.",True,
Turf Cocktail,Ordinary Drink,Cocktail glass,"('Dry Vermouth', '1 oz ')","('Gin', '1 oz ')","('Anis', '1/4 tsp ')","('Bitters', '2 dashes ')","('Orange peel', 'Twist of ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.,True,
Thai Iced Tea,Coffee / Tea,Highball glass,"('Tea', '1/4 cup Thai ')","('Water', '1/2 cup boiling ')","('Condensed milk', '2 tsp sweetened ')","('Ice', ' cubes\n')","('Mint', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings.",False,
The Last Word,Cocktail,Cocktail glass,"('Green Chartreuse', '1 oz')","('Maraschino Liqueur', '1 oz')","('Lime Juice', '1 oz')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Shake with ice and strain into a cocktail glass.,True,
The Laverstoke,Cocktail,Balloon Glass,"('Gin', '50 ml')","('Elderflower cordial', '15 ml')","('Rosso Vermouth', '15 ml')","('Tonic Water', '75 ml')","('Lime', '2 Wedges')","('Ginger', '1 Slice')","('Mint', '1 Large Sprig')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","1) Squeeze two lime wedges into a balloon glass then add the cordial, Bombay Sapphire and MARTINI Rosso Vermouth, swirl to mix.

2) Fully fill the glass with cubed ice and stir to chill.

3) Top with Fever-Tree Ginger Ale and gently stir again to combine.

4) Garnish with a snapped ginger slice and an awoken mint sprig.",True,
Tuxedo Cocktail,Ordinary Drink,Cocktail glass,"('Dry Vermouth', '1 1/2 oz ')","('Gin', '1 1/2 oz ')","('Maraschino liqueur', '1/4 tsp ')","('Anis', '1/4 tsp ')","('Orange bitters', '2 dashes ')","('Cherry', '1 ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of lemon zest.,True,
Tequila Sunrise,Cocktail,Highball glass,"('Tequila', '2 measures ')","('Orange juice', None)","('Grenadine', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.",True,
Tequila Slammer,Shot,Hurricane glass,"('Tequila', '1 shot')","('7-up', '1 part')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Mix carefully to avoid releasing the dissolved CO2.,True,
