SupplierCaseGTIN,EcommUniqueId,Gtin12,Upc11,LaunchDate,ItemNumber,BeverageSegment,Brand,SubBrand,DigitalCatalogProductName,WineVarietal,WineVintage,ItemSize,ItemSizeUom,CasePackQty,CasePackUom,Container,ProductDescShort,ProductDescLong,ProductBullet01,ProductBullet02,ProductBullet03,ProductBullet04,ProductBullet05,ProductBullet06,ProductBullet07,ProductBullet08,ProductBullet09,ProductBullet10,ProductBullet11,ProductBullet12,SurgeonGeneralWarning,ProductDisclaimerSparkling,HasProp65Ingredient,ProductPlaceOfOrigin,CountryOfOrigin,SellingUnitWidth,SellingUnitDepth,SellingUnitHeight,DimensionUom,SellingUnitWeight,WeightUom,StorageTemperature,ExpirationType,ShelfLifeDays,LegalSocialResponsibility,LegalMandatoryStatement,Video_snackable,Image_package_front,Image_package_right,Image_package_left,Image_bottle_standard,Image_label_front,Image_label_back,Image_can_standard,Image_box_front,Image_box_right,Image_box_left,Nutrition_StandardServingSize,Nutrition_StandardServingSizeUOM,Nutrition_Calories,Nutrition_Carbs,Nutrition_CarbsUOM,Nutrition_Fat,Nutrition_FatUOM,Nutrition_Protein,Nutrition_ProteinUOM,Nutrition_Sodium,Nutrition_SodiumUOM,Nutrition_Ingredients
00672438021072,00672438021041,672438021041,67243802104,2020-01-01T12:00:00Z,80083525,Beer,Two Lane Seltzer,,"Two Lane Seltzer Cherry Limeade Spiked Sparkling Water, 16 fl oz Can, 7.0% ABV",,,16,oz,1,,Can,"Made in collaboration with country music star, Luke Bryan, Two Lane Hard Seltzer is refreshing and gluten free with natural flavors. This beer contains 110 calories and 4.5% ABV per 12 oz serving.","Two Lane Hard Seltzer is a refreshing, premium hard seltzer inspired by the familiar flavors of home. Made in collaboration with country music star, Luke Bryan, Two Lane Hard Seltzer is made with water from the Blue Ridge Mountains and this single serve 16 ounce can of Two Lane Hard Seltzer Cherry Limeade is inspired by the South. Inspired by the two lane roads that can take you places a highway never could - a place where friends and good times are waiting and the drinks are always cold. Two Lane Hard Seltzer is a taste of home wherever you go. Contains 110 calories and 4.5% ABV, per 12 ounce serving and is gluten free with natural flavors.",Single 16 fl oz can of Two Lane Hard Seltzer Cherry Limeade,"A refreshing, premium hard seltzer that is gluten free with natural flavors",,Made with water from the Blue Ridge Mountains and inspired by Southern flavors,,,,,A refreshing hard seltzer best served cold to enjoy with friends,Contains 4.5% alcohol by volume,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,Virginia,United States,2.6,2.6,6.19,Inches,1.12,Pounds,Chilled: 33 to 38 degrees,Shelf Life,365,Kick it up responsibly.,"Spiked sparkling water with natural flavors.  Brewed by Home Brew Mart, Daleville, VA",,,,,,,,http://images.salsify.com/image/upload/s--oH-x-zT7--/pcnnvvjzg1dal9bf8efc.png,,,,,,110,4,g,0,g,0,g,0,mg,
00033544950234,00033544950210,033544950210,03354495021,2016-02-01T12:00:00Z,80032226,Beer,Cervezas Clasicas,Variety Pack,"Cervezas Clasicas Variety Pack Mexican Lager Beer, 12 pk 12 fl oz Bottles, 4.3% ABV",,,12,oz,12,Pack,Bottles,"Cervezas Clasicas Mexican Beer 12 pack invites you to discover and experience the authentic and refreshing flavors of Corona Extra, Corona Familiar, Victoria and Pacifico Mexican beer.","Cervezas Clasicas Mexican Beer provides the four most authentic Mexican brands in a single beer gift set. This import beer 12 pack includes four unique offerings. Corona Extra offers a crisp, smooth taste and fruity-honey aromas, while golden-colored, easy-to-drink Corona Familiar counters with refreshing full flavors and delicate hop bitterness. Victoria beer's Vienna style lager has toasted malt flavors and a smooth, crisp finish, while Pacifico's pilsner style lager brings a crisp taste and aromas of malty grain with a hop accent. Enjoy this beer variety pack at the beach, take it to your next backyard party or share it with friends during happy hour. Pair this imported beer set with Mexican food, high-fat fish, chicken, tilapia tacos or spicy food. Cervezas Clasicas - Most authentic variety pack of Mexican beers. Please drink responsibly. © 2019 Cerveceria Modelo, Nava, Mexico (and) Cerveceria de Coahuila, Nava Mexico. Imported by Crown Imports, Chicago, IL.","12 pack of 12 fl oz bottles of Cervezas Clasicas Mexican Beer, 3 of each beer","Lager and pilsner style beer variety pack, brewed and bottled in Mexico",,,,,,Bring this beer gift set to your next backyard party or share it with friends during happy hour,"Pair this import beer set with Mexican food, high-fat fish, chicken, tilapia tacos or spicy food",Varieties contain between 4% and 4.8% alcohol by volume,,Cervezas Clasicas is the most authentic variety pack of Mexican beers,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,Mexico,Mexico,15.4,10.5,9.9,Inches,1.29,Pounds,Chilled: 33 to 38 degrees,Shelf Life,120,Please drink responsibly.,"© 2020 Cerveceria Modelo, Nava, Mexico (and) Cerveceria de Coahuila, Nava Mexico. Imported by Crown Imports, Chicago, IL USA",,http://images.salsify.com/image/upload/s--XMc0890S--/hgnyq7le2rfrnhcvia41.png,http://images.salsify.com/image/upload/s--WzQ-1fx6--/ec2pu8hpbjmecjhmeegd.png,http://images.salsify.com/image/upload/s--r8TElDwp--/qr9t9trwjjbsvo9nobps.png,,,,,,,,12,fl oz,,,,,,,,,,
00672438020037,00672438020020,672438020020,67243802002,2014-01-01T12:00:00Z,80077175,Beer,Western Standard Saloon,,"Western Standard Saloon Lager Craft Beer, 6 pk 12 fl oz Bottles, 5.2% ABV",,,12,oz,6,Pack,Bottles,"Western Standard Saloon Lager Craft Beer is made with centennial hops and aged in High West bourbon barrels for a smooth lager taste with notes of vanilla, caramel, oak and citrus.","Western Standard Saloon Lager Craft Beer is a modern beer with roots in the historic lagers served in pre-Prohibition saloons. Barrel aging in High West American Prairie Bourbon barrels gives this lager beer 6 pack notes of vanilla, caramel and oak. Centennial hops complement these flavors with a light citrus character to create a smooth beer that goes well on its own or paired with two fingers of bourbon. Created by the founder of High West, David Perkins, this Western Standard bottled beer is made with a mix of corn, rye and barley in honor of traditional whiskey mashbills. Raise your standard. Western Standard. Drink Responsibly. Western Standard Malt Beverage with Natural Flavors. Western Standard Brewing Company, San Diego, CA",6 pack of 12 fl oz bottles of Western Standard Saloon Lager Craft Beer,High West pre-Prohibition style bourbon barrel aged beer from Utah,,"Features corn, rye and barley for a lager beer take on traditional whiskey mashes","Offers notes of vanilla flavor, caramel and oak, with the light citrus character of centennial hops",,,,This easy drinking beer is best served cold with two fingers of High West American Prairie Bourbon,Contains 5.2% alcohol by volume,,Raise your standard. Western Standard.,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,California,United States,7.5,4.9399999999999995,9.1,Inches,8.25,Pounds,Chilled: 33 to 38 degrees,Shelf Life,365,Drink Responsibly.,"Western Standard™ Malt Beveage with Natural Flavors.  Western Standard Brewing Company, San Diego, CA.",,http://images.salsify.com/image/upload/s--gk1n37iY--/ndeugf1ydxqbclnavkkc.png,,http://images.salsify.com/image/upload/s--TNnP-t-z--/olszqstxftktyzwnx5vk.png,http://images.salsify.com/image/upload/s--i5scCSXQ--/ttcloj15uan8irxdddji.png,,,,,,,12,fl oz,160,11,g,0,g,1,g,20,mg,
00033544950432,00033544950418,033544950418,03354495041,2017-02-13T12:00:00Z,80059568,Beer,Corona Premier,,"Corona Premier Mexican Lager Beer, 6 pk 12 fl oz Bottles, 4.0% ABV",,,12,oz,6,Pack,Bottles,"Corona Premier Mexican Beer is a smooth and drinkable light lager beer, offering a mild, malty taste with a crisp finish. Pair this import beer with Mexican food or citrus-infused dishes.","Corona Premier Mexican Beer is the premium light beer experience you've been waiting for, offering a refined taste with 90 calories per serving. This Mexican lager style beer 6 pack is made with barley malt, non-malted cereals, hops and bottom-fermenting yeast. The result is a smooth and drinkable Corona beer with a light, malty taste, a crisp finish and an even-bodied feel. Share this cerveza with guests at your next backyard barbecue or enjoy this light lager beer with lime or by itself on a hot day. Chill this bottled beer and pair it with Mexican food and citrus-infused dishes. Corona Premier - Enjoy the View. Drink responsibly. Corona Premier Beer. Imported by Crown Imports, Chicago, IL",6 pack of 12 fl oz bottles of Corona Premier Mexican Beer,This light lager beer is made in Mexico,,,,,,Serve Corona Premier beer with lime or by itself at your next backyard barbecue,The refined taste of this imported beer pairs well with Mexican food or citrus-infused dishes,Contains 90 calories and 4% alcohol by volume,,Corona Premier - Enjoy the View,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,Mexico,Mexico,7.53,5.1,9.55,Inches,8.06,Pounds,Chilled: 33 to 38 degrees,Shelf Life,180,Drink responsibly.,"Corona Premier® Beer. Imported by Crown Imports, Chicago, IL",,http://images.salsify.com/image/upload/s--cgVrlB0X--/fhlqmllffvmv042yjir4.png,http://images.salsify.com/image/upload/s--XTGP3eCe--/emdyylyn36cdmr6otkbw.png,http://images.salsify.com/image/upload/s--GJGNXcHH--/vjldcizvvtba2sdehayx.png,http://images.salsify.com/image/upload/s---4WmDERI--/xyy0aciqbdhiunly7juj.png,,,,,,,12,fl oz,90,2.6,g,0,g,0.7,g,,,"Water, Barley Malt, Non-malted Cereals, Hops"
00080660958880,00080660958880,080660958880,08066095888,2014-01-01T12:00:00Z,80081949,Beer,Victoria,,"Victoria Mexican Lager Beer, 12 fl oz Bottle, 4.0% ABV",,,12,oz,1,,Bottle,"Victoria Mexican Beer is Mexico's oldest beer brand, offering an easy-drinking lager beer with toasted malt character and a smooth finish. Enjoy this import beer with Latin food and grilled meats.","Victoria Mexican Beer is a delicious, easy-drinking Vienna style lager from Mexico's oldest beer brand. Perfect to enjoy on its own, while watching game or reminiscing with friends, this amber beer delivers authentic Mexican flavors and aromas of orange blossom honey on toast with 135 calories per serving. This lager beer is brewed with water, barley malt, non-malted cereals and hops, giving it a frothy light-to-medium body. Its toasted malt character is perfectly balanced by a smooth, crisp finish with hints of tangy apple butter and starfruit. Enjoy this ultra-premium beer with grilled meats and vegetables, mild cheeses, almond biscotti, Asian and Latin food. Victoria beer - Mexico's best kept secret has finally arrived. Drink responsibly. Victoria Beer. Imported by Crown Imports, Chicago, IL",Single 12 fl oz bottle of Victoria Mexican Beer,"Vienna style lager with a reddish hue, made in Mexico",,,This imported beer offers toasted malt flavor with apple butter and starfruit on the finish,,,"Victoria beer is perfect to enjoy on its own, while watching a game or reminiscing with friends","Pair this bottled beer with grilled meats, mild cheeses, almond biscotti and Latin food",Contains 140 calories and 4% alcohol by volume,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,Mexico,United States,2.43,2.43,9.5,Inches,1.29,Pounds,Chilled: 33 to 38 degrees,Shelf Life,365,Drink responsibly.,"Victoria™ Beer. Imported by Crown Imports, Chicago, IL",,,,,http://images.salsify.com/image/upload/s--4UdpWNoO--/s1zwxjzyiteq3jip4tns.png,,,,,,,12,fl oz,140,13,g,0,g,1,g,20,mg,"Water, Barley Malt, Non-malted Cereals, Hops"
00033544950272,00033544950272,033544950272,03354495027,2017-07-12T12:00:00Z,80056910,Beer,Modelo Especial,,"Modelo Especial Mexican Lager Beer, 18 pk 12 fl oz Bottles, 4.4% ABV",,,12,oz,18,Pack,Bottles,Modelo Especial Mexican Beer is a full-flavored pilsner beer with a crisp taste. An orange blossom honey aroma and light hop character make this imported beer perfect for tailgating.,"Modelo Especial Mexican Beer is a model of what good beer should be. This full-flavored pilsner beer has a crisp taste with an orange blossom honey aroma and a hint of herb. A light hop character, tantalizing sweetness and clean finish make this Mexican lager style beer perfect for enjoying at your next barbecue or sharing with friends while watching the game. Pair this 145 calorie, easy-drinking beer with Mexican dishes, pasta or pizza for a perfect match. Made with barley malt and unmalted cereals and hops for a balanced flavor, this cerveza is brewed with the fighting spirit. Drink responsibly. Modelo Especial Beer. Imported by Crown Imports, Chicago, IL",18 pack of 12 fl oz bottles of Modelo Especial Mexican Beer,"Made in Mexico, this pilsner style lager beer is perfectly balanced with light hops and taste",,,Mexican lager style beer characterized by an orange blossom honey aroma with a hint of herb,,,Enjoy this cerveza at a barbecue or as a tailgating beer while watching the game with friends,"Modelo Especial beer pairs well with Mexican dishes, pasta or pizza",Contains 145 calories and 4.4% alcohol by volume,,Modelo Especial - Brewing with the fighting spirit to bring you great taste,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,Mexico,Mexico,17.8,8.98,7.76,Inches,1.21,Pounds,Chilled: 33 to 38 degrees,Shelf Life,180,Drink responsibly.,"Modelo Especial® Beer. Imported by Crown Imports, Chicago, IL",,http://images.salsify.com/image/upload/s--_AzD1BXz--/wlprcaphfdmuyy63rwdv.png,http://images.salsify.com/image/upload/s--7rb1Z2Ri--/tildrvpyjrksbxdjtxog.png,,http://images.salsify.com/image/upload/s--2mtMS9AY--/nm5uypggswrbn6i5gvuj.png,,,,,,,12,fl oz,144,13.7,g,0,g,1.1,g,20,mg,"Water, Barley Malt, Non-malted Cereals, Hops"
00853907005209,00853907005056,853907005056,85390700505,2018-07-01T12:00:00Z,80077401,Beer,Four Corners  Heart O Texas,,"Four Corners Heart O Texas Amber Ale Craft Beer, 6 pk 12 fl oz Cans, 6.3% ABV",,,12,oz,6,Pack,Cans,"Four Corners Heart O' Texas Red Ale Craft Beer is a delicious, versatile brew that brings classic Texas flavor to any occasion. Enjoy its crisp taste with your favorite Texas food or spicy dish.","Four Corners Heart O' Texas Red Ale Craft Beer is designed with Texas cuisine in mind. This amber beer combines a heaping helping of biscuit malt with old-school Columbus hops and Centennial hops for a deliciously bready base and just a hint of hoppy flavor for a full taste that's unique and hecho en Tejas. Clocking in at 35 International Bitterness Units, this craft brew tastes great served up with some classic burgers at your next backyard barbecue. Its crisp flavor quells even the spiciest dishes. Take sip to balance out the spice of jalapenos in chili or carnitas tacos. With its malty taste, this classic Texas beer is the perfect companion with snacks while you watch the game and catch up with old friends. Brew great beer. Elevate beer culture. Drink Responsibly. Four Corners® Brewing Co., Dallas, TX",6 pack of 12 fl oz cans of Four Corners Heart O' Texas Red Ale Craft Beer,"Red ale with deep hue and off-white head, lending plenty of character",,,Hearty biscuit malt base with light hoppy taste for a versatile flavor,"Only 35 out of 100 International Bitterness Units for an approachable, easy-sipping craft brew",Made with Centennial and Columbus hops with a biscuit malt base for classic flavor,Bring this canned beer to your next game day to share with friends,"Serve this Texas beer alongside bold Tex-Mex classics like chili, carnitas or nachos",Contains 6.3% alcohol by volume,,Four Corners - Brew great beer. Elevate beer culture.,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,Texas,United States,8.0,5.25,5.0,Inches,5.25,Pounds,Chilled: 33 to 38 degrees,Shelf Life,365,Drink Responsibly.,"Four Corners® Brewing Co., Dallas, TX",,,http://images.salsify.com/image/upload/s--jVpVKmN5--/wwdvm2pytguibxggtsoz.png,,,,,http://images.salsify.com/image/upload/s--E0oiokJf--/w8ivs0c1f2lh43bvtmnt.png,,,,,,190,20,g,0,g,2,g,25,mg,
00672438030036,00672438030029,672438030029,67243803002,2019-03-01T12:00:00Z,80079813,Beer,Alera,Brillante,"Alera Brillante Paloma Grapefruit Sparkling Cocktail, 4 pk 12 fl oz Bottles, 5.0% ABV",,,12,oz,4,Pack,Bottles,Alera Brillante Paloma Sparkling Cocktail is a delicious alcoholic beverage blended with real fruit juices and authentic Latin flavor. It blends real grapefruit and luscious lime juices. 5.0% ABV.,"Born from a desire to stay connected to our heritage, Alera Brillante is created without compromise for an authentically delicious experience. Inspired by the classic Mexican cocktail, our sparking Paloma blends real grapefruit and luscious lime juices. This delicious beverage was created to celebrate culture, confidence, and connection with family and friends. It contains 5% alcohol by volume and 220 calories per 12-ounce serving.",,"Inspired by the classic Mexican cocktail, Paloma",,,,,,,,"5.0% alcohol by volume, 220 calories per 12 oz serving",,"Created to celebrate culture, confidence, and connection with family and friends","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,Virginia,United States,4.9399999999999995,4.9399999999999995,9.09,Inches,5.5,Pounds,Chilled: 33 to 38 degrees,Shelf Life,365,Drink responsibly.,"Alera Brillante™ Flavored malt beverage.  Brewed by Starcatcher Beverages, Daleville, VA",,http://images.salsify.com/image/upload/s--ABXRPWXd--/rsgd27d3utwqogyehaic.png,http://images.salsify.com/image/upload/s--ENIsmlJm--/ws6azo4yrp2qefiadqvl.png,,http://images.salsify.com/image/upload/s--vR4RWo_w--/rhxsf2evo4iebyj29wzk.png,,,,,,,12,fl oz,220,31,g,0,g,0,g,,,
00033544950159,00033544950159,033544950159,03354495015,2016-01-04T12:00:00Z,80027934,Beer,Corona Extra,,"Corona Extra Mexican Lager Beer, 24 pk 12 fl oz Cans, 4.6% ABV",,,12,oz,24,Pack,Cans,"Corona Extra Mexican Beer is a crisp, clean and well balanced cerveza with fruity-honey aromas and a touch of malt, making it a great tailgating beer, beach drink or barbecue refreshment.","Corona Extra Mexican Beer is an even-keeled import beer with fruity-honey aromas and a touch of malt. Brewed in Mexico since 1925, this canned beer offers a flavor that's smooth, refreshing and balanced between heavier European imports and lighter domestic beers. Crisp, clean and well balanced between hops and malt, this cerveza has a superior taste profile from superior ingredients – the finest-quality blend of filtered water, malted barley, hops, corn and yeast. Corona Extra is a great summer beer, so enjoy it with friends at your next barbecue, beach day or tailgate. This easy-drinking lager beer contains 3.6% alcohol by weight, 4.6% alcohol by volume, 0 grams of fat and 149 calories per 12 ounce serving. Find Your Beach. Relax responsibly. Corona Extra Beer. Imported by Crown Imports, Chicago, IL",24 pack of 12 fl oz cans of Corona Extra Mexican Beer,"Brewed since 1925, this Mexican lager style beer offers a smooth, well balanced taste",,"Crafted with a blend of filtered water, malted barley, hops, corn and yeast","An even-keeled imported beer with a crisp, clean and refreshing flavor",,,"Enjoy a Corona beer with lime at barbecues, game days and afternoons at the beach",,Contains 149 calories and 4.6% alcohol by volume,,Corona - Find Your Beach,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,Mexico,Mexico,15.78,4.9,10.6,Inches,20.02,Pounds,Chilled: 33 to 38 degrees,Shelf Life,180,Relax responsibly®.,"Corona Extra® Beer. Imported by Crown Imports, Chicago, IL",,http://images.salsify.com/image/upload/s--J1uVFCKS--/ghgozud9n95vb8x4ep75.png,http://images.salsify.com/image/upload/s--Hca-Rw0D--/vm77a5gl2os0xw9bfx1j.jpg,,,,,http://images.salsify.com/image/upload/s--TKumgDuo--/qubbedfbdrlkfxivqlw0.png,,,,12,fl oz,149,14,g,0,g,1.1,g,,,"Water, Barley Malt, Non-malted Cereals, Hops"
00672438003276,00672438003276,672438003276,67243800327,2015-01-01T12:00:00Z,80058400,Beer,Ballast Point Sculpin,,"Ballast Point Sculpin IPA Craft Beer, 1/6 BL Keg, 7.0% ABV",,,0.17,BL,1,,Keg,"Ballast Point Sculpin IPA's inspired use of hops creates hints of apricot, peach, mango, and lemon flavors, but still packs a bit of a sting, just like a Sculpin fish. Best served chilled.","What started as a small group of home brewers, who simply wanted to make a better beer, evolved into the adventurers known today as Ballast Point. Ballast Point Sculpin IPA is a trophy beer that’s a testament to Ballast Point's homebrew roots. Sculpin IPA's inspired use of hops creates hints of apricot, peach, mango, and lemon flavors, but still packs a bit of a sting, just like a Sculpin fish. International Bitterness Units (IBUs) = 70/100. Craft beer brewed in San Diego, California since 1996. Best served chilled. Logo on keg/barrel image is representational, brand logo does not appear on product.",,A trophy beer that’s a testament to Ballast Point's homebrew roots,,,"Hints of apricot, peach, mango, and lemon flavors","70/100 IBUs (International Bitterness Units), 7.0% ABV",,"Craft beer brewed in San Diego, California since 1996",Best served chilled,,"Logo on keg/barrel image is representational, brand logo does not appear on product",,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,California,United States,9.25,9.25,23.38,Inches,58.0,Pounds,Chilled: 33 to 38 degrees,Shelf Life,365,Please Explore Responsibly.,"Ballast Point Brewing Co,. San Diego, CA.",,,,,,,,,,,,,,210,14,g,0,g,2,g,125,mg,
00672438000695,00672438000688,672438000688,67243800068,2015-01-01T12:00:00Z,80058402,Beer,Ballast Point Grapefruit Sculpin,,"Ballast Point Grapefruit Sculpin IPA Craft Beer, 6 pk 12 fl oz Bottles, 7.0% ABV",,,12,oz,6,Pack,Bottles,"Ballast Point Grapefruit Sculpin is an award-winning IPA featuring the tart freshness of grapefruit, which perfectly complements the citrusy hop character. Craft beer brewed in San Diego since 1996.","What started as a small group of home brewers, who simply wanted to make a better beer, evolved into the adventurers known today as Ballast Point. Ballast Point Grapefruit Sculpin is an award-winning IPA, with a citrus twist. Grapefruit Sculpin is the latest take on Ballast Point's signature IPA, featuring the tart freshness of grapefruit, which perfectly complements the IPA's citrusy hop character. International Bitterness Units (IBUs) = 70/100. Craft beer brewed in San Diego, California since 1996. Best served chilled.",,An award-winning IPA with a citrus twist,,,Tart freshness of grapefruit perfectly complements the citrusy hop character,"70/100 IBUs (International Bitterness Units), 7.0% ABV",,"Craft beer brewed in San Diego, California since 1996",Best served chilled,,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,California,United States,7.5,4.9399999999999995,9.15,Inches,8.25,Pounds,Chilled: 33 to 38 degrees,Shelf Life,365,Please Explore Responsibly.,"Ballast Point Brewing Co,. San Diego, CA.",,http://images.salsify.com/image/upload/s--Vi4lWeLX--/l22zcfokdkqfuqxmtclj.png,http://images.salsify.com/image/upload/s--eWnw8qFx--/okxxwbdlfdiubycjekvd.png,,http://images.salsify.com/image/upload/s--MH95XMIW--/pgbyqmxvusdornyyanmz.png,,,,,,,,,200,15,g,0,g,2,g,130,mg,
00080660957296,00080660957210,080660957210,08066095721,2016-01-05T12:00:00Z,124018,Beer,Modelo Especial,,"Modelo Especial Mexican Lager Beer, 24 fl oz Can, 4.4% ABV",,,24,oz,1,,Can,Modelo Especial Mexican Beer is a full-flavored pilsner beer with a crisp taste. An orange blossom honey aroma and light hop character make this imported beer perfect for tailgating.,"Modelo Especial Mexican Beer is a model of what good beer should be. This full-flavored pilsner beer has a crisp taste with an orange blossom honey aroma and a hint of herb. A light hop character, tantalizing sweetness and clean finish make this Mexican lager style beer perfect for enjoying at your next barbecue or sharing with friends while watching the game. Pair this 145 calorie, easy-drinking beer with Mexican dishes, pasta or pizza for a perfect match. Made with barley malt and unmalted cereals and hops for a balanced flavor, this cerveza is brewed with the fighting spirit. Drink responsibly. Modelo Especial Beer. Imported by Crown Imports, Chicago, IL",Single 24 fl oz can of Modelo Especial Mexican Beer,"Made in Mexico, this pilsner style lager beer is perfectly balanced with light hops and taste",,,Mexican lager style beer characterized by an orange blossom honey aroma with a hint of herb,,,Enjoy this cerveza at a barbecue or as a tailgating beer while watching the game with friends,"Modelo Especial beer pairs well with Mexican dishes, pasta or pizza",Contains 145 calories and 4.4% alcohol by volume,,Modelo Especial - Brewing with the fighting spirit to bring you great taste,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,Mexico,Mexico,2.87,2.87,7.6,Inches,1.67,Pounds,Chilled: 33 to 38 degrees,Shelf Life,180,Drink responsibly.,"Modelo Especial® Beer. Imported by Crown Imports, Chicago, IL",,,,,,,,http://images.salsify.com/image/upload/s--sPTtB2Hf--/rznag8s2i3fnpcx16tg4.png,,,,12,fl oz,144,13.7,g,0,g,1.1,g,20,mg,"Water, Barley Malt, Non-malted Cereals, Hops"
00033544000106,00033544000106,033544000106,03354400010,2018-11-30T12:00:00Z,80079067,Beer,Corona Familiar,,"Corona Familiar Mexican Lager Beer, 24 pk 12 fl oz Bottles, 4.8% ABV",,,12,oz,24,Pack,Bottles,"A traditional cerveza, Corona Familiar Mexican Beer is a bright, golden-colored lager to pair with Mexican food and share with close family and friends.","Corona Familiar Mexican Beer is a bright, golden-colored lager with a clean, refreshing flavor that's finished with delicate hop bitterness. A traditional cerveza, Corona Familiar offers the bright, crisp taste Corona beer is known for with a slightly fuller flavor. This imported beer comes in classic brown beer bottles that are ubiquitous across Mexico, and its light carbonation and slight head make it the perfect complement to Mexican food. With strong ties to authenticity and heritage, this lager beer is best served in small gatherings with close friends and family, using the tradition of sharing to create meaningful experiences. Corona Familiar contains 157 calories and 4.8% alcohol by volume. The taste of a great tradition. Please drink responsibly. Corona Familiar Beer. Imported by Crown Imports, Chicago, IL",24 pack of 12 fl oz bottles of Corona Familiar Mexican Beer,"Golden colored Mexican lager style beer with the signature bright, crisp taste of Corona",,,"A traditional Mexican beer with a clean, refreshing, fuller flavor",,,Serve this bottled beer to close friends and family to create meaningful experiences,Pairs well with Mexican dishes,Contains 157 calories and 4.8% alcohol by volume,,Corona Familiar - the taste of a great tradition.,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,Mexico,Mexico,10.63,15.51,9.76,Inches,31.94,Pounds,Chilled: 33 to 38 degrees,Shelf Life,180,Please drink responsibly.,"Corona Familiar® Beer. Imported by Crown Imports, Chicago, IL",,http://images.salsify.com/image/upload/s--q8F_J7xc--/safqzeju3nyofiuwlmht.png,http://images.salsify.com/image/upload/s--0RfWkwA7--/yqdw3fkifhyzrh47kgte.png,,http://images.salsify.com/image/upload/s---FRe9QuR--/roeoinra7rqteddexf0e.png,,,,,,,12,fl oz,157,14.7,g,0,g,1.2,g,,,"Water, Barley Malt, Non-malted Cereals, Hops"
